B

       2                41            38          41        27        38       18     13       32       32      30     26     25     29     27    25    14    23    10    7     17     14    18    11    14    11   12   17   13   11    9    8    21    18   18   21   17   19   15   19   16  15  15  14  15  12   3   4    8  10   7   6   8   7   3   14   10   14   13   11  10  13  11  12  10   8  11   9   7  10  10  10   9   7   5   3    8   5   5   8   8   4   3  12  12  11  11  11  10   8   8   2   4   3   4   4   3   3   1   9   5   7   9   6   7   5   4   5   4   2   2   3   1   1   8   8   8   8   8   6   8   6   6   6   6   6   5   5   .   3   2   .   6   6   5   5   4   4   3   3   4   4   3   2   2   .   .   7   7   7   7   1   2   2   2   1   3   3   2   1   .   6   6   5   4   3   2   2   2   2   1   1   .   .   5   5   2   .   4   4   3   3   2   1   1

                        1a            2a          2b        2c        2d       3a     3b       4a       4b      4c     4d     4e     4f     4g    4h    4i    4j    5a   5b     6a     6b    6c    6d    6e    6f   6g   6h   6i   6j   6k   7a    8a    8b   8c   8d   8e   8f   8g   8h   8i  8j  8k  8l  8m  8n  9a  9b  10a 10b 10c 10d 10e 10f 11a  12a  12b  12c  12d  12e 12f 12g 12h 12i 12j 12k 12l 12m 12n 12o 12p 12q 12r 12s 12t 13a  14a 14b 14c 14d 14e 15a 15b 16a 16b 16c 16d 16e 16f 16g 16h 17a 18a 18b 18c 18d 18e 18f 19a 20a 20b 20c 20d 20e 20f 20g 20h 20i 20j 21a 22a 22b 23a 23b 24a 24b 24c 24d 24e 24f 24g 24h 24i 24j 24k 24l 24m 24n 25a 26a 26b 27a 28a 28b 28c 28d 28e 30a 30b 30c 30d 30e 30f 30g 30h 31a 31b 32a 32b 32c 32d 33a 34a 34b 34c 35a 36a 36b 36c 38a 39a 40a 40b 40c 40d 40e 42a 42b 42c 44a 46a 46b 47a 47b 48a 48b 52a 55a 56a 56b 60a 60b 60c 66a 70a
      2P                1a            1a          1a        1a        1a       3a     3b       2b       2b      2b     2b     2d     2b     2b    2d    2c    2d    5a   5b     3a     3a    3a    3b    3a    3a   3b   3a   3b   3b   3b   7a    4c    4b   4b   4c   4b   4c   4e   4c   4f  4e  4h  4g  4h  4j  9a  9b   5a  5a  5a  5b  5a  5b 11a   6c   6g   6c   6c   6c  6i  6c  6c  6c  6h  6g  6c  6g  6j  6g  6h  6i  6i  6j  6k 13a   7a  7a  7a  7a  7a 15a 15b  8d  8d  8h  8h  8d  8h  8k  8m 17a  9b  9b  9b  9b  9a  9b 19a 10b 10d 10b 10b 10b 10b 10f 10c 10d 10f 21a 11a 11a 23a 23b 12d 12d 12d 12d 12g 12m 12g 12f 12j 12j 12m 12q 12o 12r 25a 13a 13a 27a 14d 14d 14d 14d 14e 15a 15a 15a 15a 15a 15b 15b 15b 31a 31b 16c 16c 16d 16d 33a 17a 17a 17a 35a 18c 18c 18e 19a 39a 20d 20d 20d 20f 20g 21a 21a 21a 22b 23a 23b 47a 47b 24g 24g 26a 55a 28b 28b 30d 30d 30f 33a 35a
      3P                1a            2a          2b        2c        2d       1a     1a       4a       4b      4c     4d     4e     4f     4g    4h    4i    4j    5a   5b     2a     2a    2b    2a    2d    2c   2b   2d   2d   2d   2c   7a    8a    8b   8c   8d   8e   8f   8g   8h   8i  8j  8k  8l  8m  8n  3b  3b  10a 10b 10c 10d 10e 10f 11a   4b   4b   4a   4b   4d  4e  4c  4d  4f  4e  4d  4g  4c  4e  4f  4h  4h  4j  4h  4i 13a  14a 14b 14c 14d 14e  5a  5b 16a 16b 16c 16d 16e 16f 16g 16h 17a  6d  6d  6g  6j  6j  6k 19a 20a 20b 20c 20d 20e 20f 20g 20h 20i 20j  7a 22a 22b 23a 23b  8b  8c  8e  8e  8a  8a  8d  8g  8g  8j  8f  8k  8i  8n 25a 26a 26b  9a 28a 28b 28c 28d 28e 10a 10a 10c 10b 10e 10f 10d 10d 31b 31a 32b 32a 32c 32d 11a 34a 34c 34b 35a 12b 12k 12n 38a 13a 40a 40b 40c 40d 40e 14a 14b 14c 44a 46a 46b 47a 47b 16a 16b 52a 55a 56a 56b 20a 20e 20g 22a 70a
      5P                1a            2a          2b        2c        2d       3a     3b       4a       4b      4c     4d     4e     4f     4g    4h    4i    4j    1a   1a     6a     6b    6c    6d    6e    6f   6g   6h   6i   6j   6k   7a    8a    8b   8c   8d   8e   8f   8g   8h   8i  8j  8k  8l  8m  8n  9a  9b   2a  2b  2c  2b  2d  2d 11a  12a  12b  12c  12d  12e 12f 12g 12h 12i 12j 12k 12l 12m 12n 12o 12p 12q 12r 12s 12t 13a  14a 14b 14c 14d 14e  3a  3b 16a 16b 16c 16d 16e 16f 16g 16h 17a 18a 18b 18c 18d 18e 18f 19a  4a  4a  4a  4b  4d  4g  4e  4i  4f  4j 21a 22a 22b 23b 23a 24a 24b 24c 24d 24e 24f 24g 24h 24i 24j 24k 24l 24m 24n  5b 26a 26b 27a 28a 28b 28c 28d 28e  6b  6a  6f  6c  6e  6i  6g  6g 31a 31b 32b 32a 32d 32c 33a 34a 34c 34b  7a 36a 36b 36c 38a 39a  8b  8c  8e  8l  8g 42a 42b 42c 44a 46b 46a 47b 47a 48a 48b 52a 11a 56b 56a 12c 12e 12f 66a 14a
      7P                1a            2a          2b        2c        2d       3a     3b       4a       4b      4c     4d     4e     4f     4g    4h    4i    4j    5a   5b     6a     6b    6c    6d    6e    6f   6g   6h   6i   6j   6k   1a    8a    8b   8c   8d   8e   8f   8g   8h   8i  8j  8k  8l  8m  8n  9a  9b  10a 10b 10c 10d 10e 10f 11a  12a  12b  12c  12d  12e 12f 12g 12h 12i 12j 12k 12l 12m 12n 12o 12p 12q 12r 12s 12t 13a   2a  2a  2c  2b  2d 15a 15b 16a 16b 16c 16d 16e 16f 16g 16h 17a 18a 18b 18c 18d 18e 18f 19a 20a 20b 20c 20d 20e 20f 20g 20h 20i 20j  3a 22a 22b 23b 23a 24a 24b 24c 24d 24e 24f 24g 24h 24i 24j 24k 24l 24m 24n 25a 26a 26b 27a  4b  4c  4a  4d  4e 30a 30b 30c 30d 30e 30f 30h 30g 31a 31b 32a 32b 32d 32c 33a 34a 34c 34b  5a 36a 36b 36c 38a 39a 40a 40b 40c 40d 40e  6b  6a  6f 44a 46b 46a 47a 47b 48a 48b 52a 55a  8a  8a 60a 60b 60c 66a 10a
     11P                1a            2a          2b        2c        2d       3a     3b       4a       4b      4c     4d     4e     4f     4g    4h    4i    4j    5a   5b     6a     6b    6c    6d    6e    6f   6g   6h   6i   6j   6k   7a    8a    8b   8c   8d   8e   8f   8g   8h   8i  8j  8k  8l  8m  8n  9a  9b  10a 10b 10c 10d 10e 10f  1a  12a  12b  12c  12d  12e 12f 12g 12h 12i 12j 12k 12l 12m 12n 12o 12p 12q 12r 12s 12t 13a  14a 14b 14c 14d 14e 15a 15b 16a 16b 16c 16d 16e 16f 16g 16h 17a 18a 18b 18c 18d 18e 18f 19a 20a 20b 20c 20d 20e 20f 20g 20h 20i 20j 21a  2a  2b 23b 23a 24a 24b 24c 24d 24e 24f 24g 24h 24i 24j 24k 24l 24m 24n 25a 26a 26b 27a 28a 28b 28c 28d 28e 30a 30b 30c 30d 30e 30f 30h 30g 31b 31a 32b 32a 32c 32d  3a 34a 34c 34b 35a 36a 36b 36c 38a 39a 40a 40b 40c 40d 40e 42a 42b 42c  4a 46b 46a 47b 47a 48a 48b 52a  5a 56b 56a 60a 60b 60c  6a 70a
     13P                1a            2a          2b        2c        2d       3a     3b       4a       4b      4c     4d     4e     4f     4g    4h    4i    4j    5a   5b     6a     6b    6c    6d    6e    6f   6g   6h   6i   6j   6k   7a    8a    8b   8c   8d   8e   8f   8g   8h   8i  8j  8k  8l  8m  8n  9a  9b  10a 10b 10c 10d 10e 10f 11a  12a  12b  12c  12d  12e 12f 12g 12h 12i 12j 12k 12l 12m 12n 12o 12p 12q 12r 12s 12t  1a  14a 14b 14c 14d 14e 15a 15b 16a 16b 16c 16d 16e 16f 16g 16h 17a 18a 18b 18c 18d 18e 18f 19a 20a 20b 20c 20d 20e 20f 20g 20h 20i 20j 21a 22a 22b 23a 23b 24a 24b 24c 24d 24e 24f 24g 24h 24i 24j 24k 24l 24m 24n 25a  2c  2a 27a 28a 28b 28c 28d 28e 30a 30b 30c 30d 30e 30f 30h 30g 31b 31a 32b 32a 32d 32c 33a 34a 34b 34c 35a 36a 36b 36c 38a  3a 40a 40b 40c 40d 40e 42a 42b 42c 44a 46a 46b 47b 47a 48a 48b  4i 55a 56b 56a 60a 60b 60c 66a 70a
     17P                1a            2a          2b        2c        2d       3a     3b       4a       4b      4c     4d     4e     4f     4g    4h    4i    4j    5a   5b     6a     6b    6c    6d    6e    6f   6g   6h   6i   6j   6k   7a    8a    8b   8c   8d   8e   8f   8g   8h   8i  8j  8k  8l  8m  8n  9a  9b  10a 10b 10c 10d 10e 10f 11a  12a  12b  12c  12d  12e 12f 12g 12h 12i 12j 12k 12l 12m 12n 12o 12p 12q 12r 12s 12t 13a  14a 14b 14c 14d 14e 15a 15b 16a 16b 16c 16d 16e 16f 16g 16h  1a 18a 18b 18c 18d 18e 18f 19a 20a 20b 20c 20d 20e 20f 20g 20h 20i 20j 21a 22a 22b 23b 23a 24a 24b 24c 24d 24e 24f 24g 24h 24i 24j 24k 24l 24m 24n 25a 26a 26b 27a 28a 28b 28c 28d 28e 30a 30b 30c 30d 30e 30f 30g 30h 31b 31a 32a 32b 32c 32d 33a  2c  2a  2a 35a 36a 36b 36c 38a 39a 40a 40b 40c 40d 40e 42a 42b 42c 44a 46b 46a 47a 47b 48a 48b 52a 55a 56b 56a 60a 60b 60c 66a 70a
     19P                1a            2a          2b        2c        2d       3a     3b       4a       4b      4c     4d     4e     4f     4g    4h    4i    4j    5a   5b     6a     6b    6c    6d    6e    6f   6g   6h   6i   6j   6k   7a    8a    8b   8c   8d   8e   8f   8g   8h   8i  8j  8k  8l  8m  8n  9a  9b  10a 10b 10c 10d 10e 10f 11a  12a  12b  12c  12d  12e 12f 12g 12h 12i 12j 12k 12l 12m 12n 12o 12p 12q 12r 12s 12t 13a  14a 14b 14c 14d 14e 15a 15b 16a 16b 16c 16d 16e 16f 16g 16h 17a 18a 18b 18c 18d 18e 18f  1a 20a 20b 20c 20d 20e 20f 20g 20h 20i 20j 21a 22a 22b 23b 23a 24a 24b 24c 24d 24e 24f 24g 24h 24i 24j 24k 24l 24m 24n 25a 26a 26b 27a 28a 28b 28c 28d 28e 30a 30b 30c 30d 30e 30f 30g 30h 31a 31b 32b 32a 32c 32d 33a 34a 34b 34c 35a 36a 36b 36c  2a 39a 40a 40b 40c 40d 40e 42a 42b 42c 44a 46b 46a 47b 47a 48a 48b 52a 55a 56a 56b 60a 60b 60c 66a 70a
