M

       2                          46                 42             46            21         14         15         34        27       34      27       14      8       19      14      21     14     14    15     10     4    22    19    14    19   22   14     6    4    11    14    8    8    8    6    15    11    11   11   15    9    9   11  10   9   4   3    9  10   4    6   3   4   3  12  13  13   3   4   5   6   4   4   2  10   7   6   8   4   6   3   1   3   3   4   6   3   3   8   9   7   8   7   5   5   6   7   5   1   4   3   1   .   5   7   7   3   .   4   5   6   3   3   4   4   1   1   7   7   1   2   3   2   1   4   3   3   3   2   1   .   1   1   4   6   4   4   .   3   3   3   1   5   5   .   3   3   2   2   1   1   5   1   .   3   2   1   1   4   3   3   .   .   .   3   4   3   3   2   2   1   1   2   1   2   .   .   2   1   .   .   1   1   1   2   2   2   .   .   3   3   2   2   .   .   1   1   .   .    3    3    .    1    .    .
      41                           1                  .              .             .          .          .          .         .        .       .        .      .        .       .       .      .      .     .      .     .     .     .     .     .    .    .     .    .     .     .    .    .    .    .     .     .     .    .    .    .    .    .   .   .   .   .    .   .   .    .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   1   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .    .    .    .    .    .    .
      47                           1                  1              .             .          .          .          .         .        .       .        .      .        .       .       .      .      .     .      .     .     .     .     .     .    .    .     .    .     .     .    .    .    .    .     .     .     .    .    .    .    .    .   .   .   .   .    .   .   .    .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   1   1   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   1   1   .   .    .    .    .    .    .    .
      59                           1                  .              .             .          .          .          .         .        .       .        .      .        .       .       .      .      .     .      .     .     .     .     .     .    .    .     .    .     .     .    .    .    .    .     .     .     .    .    .    .    .    .   .   .   .   .    .   .   .    .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   1   1   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .    .    .    .    .    .    .
      71                           1                  .              .             .          .          .          .         .        .       .        .      .        .       .       .      .      .     .      .     .     .     .     .     .    .    .     .    .     .     .    .    .    .    .     .     .     .    .    .    .    .    .   .   .   .   .    .   .   .    .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   1   1   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .    .    .    .    .    .    .

                                  1a                 2a             2b            3a         3b         3c         4a        4b       4c      4d       5a     5b       6a      6b      6c     6d     6e    6f     7a    7b    8a    8b    8c    8d   8e   8f    9a   9b   10a   10b  10c  10d  10e  11a   12a   12b   12c  12d  12e  12f  12g  12h 12i 12j 13a 13b  14a 14b 14c  15a 15b 15c 15d 16a 16b 16c 17a 18a 18b 18c 18d 18e 19a 20a 20b 20c 20d 20e 20f 21a 21b 21c 21d 22a 22b 23a 23b 24a 24b 24c 24d 24e 24f 24g 24h 24i 24j 25a 26a 26b 27a 27b 28a 28b 28c 28d 29a 30a 30b 30c 30d 30e 30f 30g 31a 31b 32a 32b 33a 33b 34a 35a 35b 36a 36b 36c 36d 38a 39a 39b 39c 39d 40a 40b 40c 40d 41a 42a 42b 42c 42d 44a 44b 45a 46a 46b 46c 46d 47a 47b 48a 50a 51a 52a 52b 54a 55a 56a 56b 56c 57a 59a 59b 60a 60b 60c 60d 60e 60f 62a 62b 66a 66b 68a 69a 69b 70a 70b 71a 71b 78a 78b 78c 84a 84b 84c 87a 87b 88a 88b 92a 92b 93a 93b 94a 94b 95a 95b 104a 104b 105a 110a 119a 119b
      2P                          1a                 1a             1a            3a         3b         3c         2b        2a       2b      2b       5a     5b       3a      3b      3a     3b     3b    3c     7a    7b    4c    4a    4b    4c   4c   4d    9a   9b    5a    5a   5b   5b   5b  11a    6c    6e    6a   6f   6c   6b   6d   6e  6e  6f 13a 13b   7a  7a  7b  15a 15b 15c 15d  8a  8e  8e 17a  9b  9a  9a  9b  9b 19a 10b 10a 10e 10b 10d 10e 21a 21b 21c 21d 11a 11a 23a 23b 12a 12e 12i 12e 12d 12f 12g 12h 12i 12j 25a 13a 13b 27a 27b 14a 14b 14b 14c 29a 15c 15a 15a 15b 15d 15c 15c 31a 31b 16b 16c 33a 33b 17a 35a 35b 18c 18d 18b 18d 19a 39a 39b 39c 39d 20b 20a 20f 20f 41a 21a 21d 21c 21b 22b 22b 45a 23a 23b 23a 23b 47a 47b 24b 25a 51a 26a 26b 27a 55a 28c 28d 28d 57a 59b 59a 30b 30c 30g 30g 30d 30e 31a 31b 33b 33a 34a 69a 69b 35a 35b 71a 71b 39a 39c 39d 42a 42b 42c 87a 87b 44b 44a 46a 46b 93a 93b 47a 47b 95a 95b  52a  52a 105a  55a 119a 119b
      3P                          1a                 2a             2b            1a         1a         1a         4a        4b       4c      4d       5a     5b       2a      2b      2b     2a     2b    2b     7a    7b    8a    8b    8c    8d   8e   8f    3b   3b   10a   10b  10c  10d  10e  11a    4a    4a    4b   4a   4c   4d   4b   4c  4c  4d 13a 13b  14a 14b 14c   5a  5a  5b  5b 16a 16b 16c 17a  6d  6d  6e  6e  6e 19a 20a 20b 20c 20d 20e 20f  7a  7b  7a  7b 22a 22b 23a 23b  8b  8a  8a  8d  8b  8f  8c  8d  8e  8f 25a 26a 26b  9b  9b 28a 28b 28c 28d 29a 10d 10a 10b 10b 10d 10c 10e 31b 31a 32a 32b 11a 11a 34a 35a 35b 12b 12b 12g 12i 38a 13a 13a 13b 13b 40a 40b 40c 40d 41a 14a 14c 14b 14c 44a 44b 15b 46a 46b 46c 46d 47a 47b 16a 50a 17a 52a 52b 18a 55a 56a 56b 56c 19a 59a 59b 20b 20a 20c 20f 20d 20e 62b 62a 22a 22b 68a 23a 23b 70a 70b 71a 71b 26a 26b 26b 28a 28d 28b 29a 29a 88a 88b 92a 92b 31b 31a 94a 94b 95a 95b 104a 104b  35a 110a 119a 119b
      5P                          1a                 2a             2b            3a         3b         3c         4a        4b       4c      4d       1a     1a       6a      6b      6c     6d     6e    6f     7a    7b    8a    8b    8c    8d   8e   8f    9a   9b    2a    2b   2a   2b   2b  11a   12a   12b   12c  12d  12e  12f  12g  12h 12i 12j 13a 13b  14a 14b 14c   3a  3b  3b  3c 16a 16b 16c 17a 18a 18b 18c 18d 18e 19a  4a  4b  4a  4d  4d  4c 21a 21b 21c 21d 22a 22b 23b 23a 24a 24b 24c 24d 24e 24f 24g 24h 24i 24j  5b 26a 26b 27a 27b 28a 28b 28c 28d 29a  6b  6a  6c  6b  6f  6d  6e 31a 31b 32a 32b 33a 33b 34a  7a  7b 36a 36b 36c 36d 38a 39a 39b 39c 39d  8c  8b  8d  8d 41a 42a 42b 42c 42d 44a 44b  9a 46b 46a 46d 46c 47b 47a 48a 10c 51a 52a 52b 54a 11a 56a 56b 56c 57a 59a 59b 12c 12a 12b 12h 12f 12j 62a 62b 66a 66b 68a 69b 69a 14a 14c 71a 71b 78a 78b 78c 84a 84b 84c 87b 87a 88a 88b 92b 92a 93a 93b 94b 94a 19a 19a 104a 104b  21a  22a 119a 119b
      7P                          1a                 2a             2b            3a         3b         3c         4a        4b       4c      4d       5a     5b       6a      6b      6c     6d     6e    6f     1a    1a    8a    8b    8c    8d   8e   8f    9a   9b   10a   10b  10c  10d  10e  11a   12a   12b   12c  12d  12e  12f  12g  12h 12i 12j 13a 13b   2a  2b  2b  15a 15b 15c 15d 16a 16b 16c 17a 18a 18b 18c 18d 18e 19a 20a 20b 20c 20d 20e 20f  3a  3a  3c  3b 22a 22b 23b 23a 24a 24b 24c 24d 24e 24f 24g 24h 24i 24j 25a 26a 26b 27a 27b  4b  4a  4c  4d 29a 30a 30b 30c 30d 30e 30f 30g 31a 31b 32a 32b 33a 33b 34a  5a  5b 36a 36b 36c 36d 38a 39a 39b 39d 39c 40a 40b 40c 40d 41a  6a  6b  6f  6c 44b 44a 45a 46b 46a 46d 46c 47a 47b 48a 50a 51a 52a 52b 54a 55a  8a  8f  8f 57a 59a 59b 60a 60b 60c 60d 60e 60f 62a 62b 66a 66b 68a 69b 69a 10a 10d 71b 71a 78a 78c 78b 12c 12f 12d 87a 87b 88b 88a 92b 92a 93a 93b 94a 94b 95b 95a 104a 104b  15a 110a  17a  17a
